Team,Team2
Mumbai indians,Chennai super kings
Delhi capitals,Kings xi punjab
Sunrisers hyderabad,Royal challengers bangalore
Rajasthan royals,Chennai super kings
Kolkata knight riders,Mumbai indians
Kings xi punjab,Royal challengers bangalore
Chennai super kings,Delhi capitals
Kolkata knight riders,Sunrisers hyderabad
Rajasthan royals,Kings xi punjab
Royal challengers bangalore,Mumbai indians
Delhi capitals,Sunrisers hyderabad
Rajasthan royals,Kolkata knight riders
Kings xi punjab,Mumbai indians
Chennai super kings,Sunrisers hyderabad
Royal challengers bangalore,Rajasthan royals
Delhi capitals,Kolkata knight riders
Mumbai indians,Sunrisers hyderabad
Kings xi punjab,Chennai super kings
Royal challengers bangalore,Delhi capitals
Mumbai indians,Rajasthan royals
Kolkata knight riders,Chennai super kings
Sunrisers hyderabad,Kings xi punjab
Rajasthan royals,Delhi capitals
Kings xi punjab,Kolkata knight riders
Chennai super kings,Royal challengers bangalore
Sunrisers hyderabad,Rajasthan royals
Mumbai indians,Delhi capitals
Royal challengers bangalore,Kolkata knight riders
Sunrisers hyderabad,Chennai super kings
Delhi capitals,Rajasthan royals
Royal challengers,Kings xi punjab
Mumbai indians,Kolkata knight riders
Rajasthan royals,Royal challengers bangalore
Delhi capitals,Chennai super kings
Sunrisers hyderabad,Kolkata knight riders
Mumbai indians,Kings xi punjab
Chennai super kings,Rajasthan royals
Kings xi punjab,Delhi capitals
Kolkata knight riders,Royal challengers bangalore
Rajasthan royals,Sunrisers hyderabad
Chennai super kings,Mumbai indians
Kolkata knight riders,Delhi capitals
Kings xi punjab,Sunrisers hyderabad
Royal challengers bangalore,Chennai super kings
Rajasthan royals,Mumbai indians
Kolkata knight riders,Kings xi punjab
Sunrisers hyderabad,Delhi capitals
Mumbai indians,Royal challengers bangalore
Chennai super kings,Kolkata knight riders
Kings xi punjab,Rajasthan royals
Delhi capitals,Mumbai indians
Royal challengers bangalore,Sunrisers hyderabad
Chennai super kings,Kings xi punjab
Kolkata knight riders,Rajasthan royals
Delhi capitals,Royal challengers bangalore
Sunrisers hyderabad,Mumbai indians
